Casenumer,Jurisdiction,Question,Summary
438845,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,"wij zitten in de schuldsanering. de exvrouw van mijn man eiste alimentatie voor hun 2 kinderen, er is in 2007 door de rechter bepaald dat wij €90,- per kind per maand moeten betalen. nu hebben wij een brief van haar advocaat ontvangen met de mede deling dat de alimentatie elk jaar word geindexeerd en of we de achterstand sinds 07 - €420,- even binnen 7 dagen willen voldoen. Dit is natuur lijk niet mogelijk aangezien wij maandelijks slechts €183,- leefgeld ontvange en zelf ook een dochtertje hebben. Zijn wij verplicht dit bedrag te betalen?"
438870,Personen- en familierecht - Echtscheiding,Reactie via formulier op jurofoon.nl,Gister is door de rechtbank aan mijn dochter medegedeeld dat zij m.i.v 12 april gescheiden is van haar man. Nu doet het volgende zich voor zij zijn gehuwd in gemeenschap van goederen en hebben het bezit van een bedrijfspand en 2 huizen waarvan er een leeg staat. Mijn schoonzoon maakt overal schulden zodat hij failliet kan worden verklaard. De aanwezige overwaarde  dekt echter ruimschoots nog het totaal aan schulden. Mijn schoonzoon heeft nu het huis wat leegstaat uit de verkoop gehaald terwijl er mogelijk gegadigden zijn om het te kopen. Wat zijn nu de mogelijkheden voor mijn dochter om alsnog hem te dwingen mee te werken aan een eventuele verkoop en dan van de verkoop van dit huis vast een groot deel van de schulden te voldoen.
438871,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,Mijn kleindochter loopt stage in een verzorgingshuis  Moet ook demente bejaarden wassen  Wie wordt aansprakelijk gesteld   als er een ongelukje zou plaats vinden?
438880,Aansprakelijkheidsrecht - Letselschade,Reactie via formulier op jurofoon.nl,heren ik zit met een gevl van de schadefonds geweldsmisdrijven waar ik geen vinger op kan leggen en zou u graag om advies willen vragen zou u met mij contact willen nemen op korte termijn ivm sluiting van de zaak en dat is 18 maart 2011 mvg S van Throo
438927,Consumentenrecht - (overig),Reactie via formulier op jurofoon.nl,"Mijn externe harddisk viel afgelopen vrijdag.  De disk werd daarna nog wel herkend, maar de data was niet meer benaderbaar.  Om eventuele verdere schade te beperken, heb ik de disk direct naar een computerzaak gebracht.  De kans op het redden van de data werd zeer groot geacht.  Drie uur later heb ik geïnformeerd naar de status.  Het zag er slecht uit want de disk tikte en werd niet meer herkend.  Vervolgens heeft men de disk de hele nacht aan laten staan.  Nu is de disk totaal onbruikbaar geraakt.  Drie andere bedrijven zeggen dat het aan laten staan van een tikkende harddisk meestal tot desastreuze gevolgen leidt en vindt de handelswijze van het betreffende bedrijf dan ook onprofessioneel.  Naar hun zeggen moet een tikkende harddisk altijd direct worden afgekoppeld en moet er met de klant contact worden opgenomen m.b.t. de vervolgprocedure.  Het betreffende bedrijf heeft dit niet gedaan en heeft mij ook niet gewezen op het risico van het aan laten staan van een harddisk.  Mijn inziens heeft het betreffende bedrijf door dit verzuim, de verantwoording en daarmee de ook risicos op zich genomen.  Het betreffende bedrijf vindt echter dat men juist heeft gehandeld en wil de kosten niet dragen wanneer de schijf door een gespecialiseerd bedrijf getracht wordt te repareren.  De kosten die daarmee gemoeidt zijn kunnen oplopen tot €1500,-.  Ik wil deze eventuele kosten op het betreffende bedrijf verhalen.  Is dat mogelijk?"
438928,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Geachte heer/mevrouw,    Een rare vraag doch voor mij van cruciaal belang:  Ik ben Horecaondernemer en heb 2 zaken aan het Havermarkt/plein te Breda, waar ongeveer 10 tot 12 horecazaken zijn gelegen. Op dit pleintje worden veel grote evenementen georganiseerd door allerlei organisaties.  Welnu de Gemeente Breda geeft toestemming om de stroompotten die in de bestrating zitten op het plein  in de grond te gebruiken en dit vermelden ze in de vergunning van de desbetreffende organisatie die het evenement organiseert.  Zo ook wordt er in een aangrenzende straat nl. de Vismarktstraat stroom geleverd voor o.a. De Kerstverlichting.  Nu het bizarre al deze stroom wordt geleverd uit een stroomkast die destijds bij mij is weggehangen, helaas staat die ook op mijn naam, dit betekend voor mij dat ik de stroomkosten al bijna 16 jaar betaal van al deze gebeurtenissen.  Dit is inmiddels over bijna 16 jaar al opgelopen tot meer dan € 30.000,00.  Waar kan ik deze rekening neerleggen?  Ik heb hier al contact over gehad met de Gemeente, deze ontkennen dat er überhaupt potten zijn!!  Terwijl ze ze zelf hebben aan laten leggen tijdens de herbestrating van de Havermarkt, maar geven ze de mensen toestemming om de potten te gebruiken.  U begrijpt dat ik deze situatie zeer vreemd is (bizar) het dunkt mij dat ik de rekening moet neer kunnen leggen bij de Gemeente Breda.    In afwachting van uw antwoord,    Met vriendelijke groet,    M.M. Heskens-Keulaars"
438937,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Goedemiddag, mijn vraag is de volgende mijn man is twee jaar geleden van almere naar ermelo verhuist, nadat hij mij had ontmoet, en hij werkt ( nu nog steeds ) in Amsterdam zijn werkgever betaald hem alleen de reiskosten Almere Amsterdam dit is 120 euro, omdat hij als argument heeft dat hij toch zelf naar ermelo verhuist is. Dit kost ons meer dan 200 euro extra in de maand kan een werkgever dit zomaar doen? Hij moet smorgens om 7.00 uur beginnen dus het openbaar vervoer is ook geen optie. Alvast bedankt vor uw tijd.    Met vriendelijke groet,    Betty Baars_krähe"
438944,Personen- en familierecht - Echtscheiding,Reactie via formulier op jurofoon.nl,"Beste, Ik lig momenteel in scheiding en woon vanaf 31 okt. bij mijn ouders in met een peuter van 3. na 4 maanden heb ik de woning toebedeeld gekregen tottdat het in de verkoop gaat etc. nu heeft meneer de hele wonig en buitenboel leeggeroofd voordat ik de woning betrad. Inmiddels ben ik al 5700 euro kwijt aan advocaatkosten en niks wijzer. ik heb wel een goede advocaat, maar de tegenpartij werkt in alle fronten tegen. Ik werk zelf 3 dgn en heb een bruto inkomen van 1725 euro per maand. heb ik geen recht op bijstand ofzo? Ik werk momenteel alleen voor de kosten en kan niks verder. kan geen woning zoeken met de kleine en zit bij me ouders wat heel ontoepasselijk is. Nu komt er weer een koort geding, deze rechtzaak hoef ik niet te betalen, maar de rest eromheen nog steeds. Ik trek dit zo niet meer. wat kan ik hieraan doen? de wonign moet in de verkoop, ook dit ligt bij de rechter want meneer werkt niet mee, het had al 4 maanden in de verkoop kunnen staan."
438946,Huurrecht - (overig),Reactie via formulier op jurofoon.nl,"Hoe zit dat als de hoofdhuurder heeft contract niet beëindigd,maar is vertrokken zonder een adres achter te laten?  Ik betaal de huur bijna 3 jaar en ben ik ook bij de gemeente ingeschreven.Kan de verhuurder mijn uit de woning uitzetten?"
438954,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,Geachte jurofoon  Ik heb een vraag namelijk is een moeder verplicht kleding mee te geven als het kind voor omgang naar de vader gaat.  Mijn kleindochter gaat een keer per 2 weken van zaterdag 9.30 tot zondag 17.00 naar de vader.  Mijn dochter gaf altijd een pyama en een setje kleding mee.  Maar nu eist hij 3 setjes kleding .  Wij doen dit niet omdat hij regelmatig kleding niet terug geeft.  Hij heeft inmiddels ook een dochter bij zijn nieuwe vriendin en wij denken dat het vaker zal gebeuren dat de dingen niet terug komen.Ook is de laatste keer de knuffel die ze mee had niet terug gekomen.  Mijn dochter is alleen staande moeder en heeft die spullen zelf hard nodig.  De volgende keer willen we ze dus zonder spullen mee geven die heeft hij tenslotte al daar en ze blijft maar een nachtje.  Plus krijgt hij dan wel via de belasting ook 5 euro per omgangs dag          Met vriendelijke groet                A.Rutten
438976,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,bij welke instantie moet ik zijn om erachter te komen hoe ik een deel van het door mijn ex echtgenoot opgebouwde pensioen te kunnen opeisen. we waren buiten gemeenschap van goederen gehuwd met winstdeling. we zijn in belgie gescheiden en tegenwoordig woot hij in luxemburg
438978,Huurrecht - (overig),Reactie via formulier op jurofoon.nl,"Ik zit  in mijn huurpand voor artspraktijk. Nu verkoop ik mijn patientengoodwill aan mijn opvolger arts. Deze nieuwe arts wil in het zelfde huurpand verder gaan met de praktijk.. De veerhuurder wil nu een nieuw huurcontract met mijn opvolger maken, maar mijn  huucontract gaat dus niet naar mijn opvolger (huidige huur is nu € 518,-/mnd. . De verhuuder stel nu een nieuwe huurvoorstel aan mijn opvolger voor van van € 628,-/ mnd. = verhoging van 20% !!!! .Mag de verhhurder dit doen of is hij niet verplicht mijn oude contract op de nieuwe praktijk opvolger  door te geven op de zelfde basis als het oude contract €518,-/mnd., dus zonder nieuw contact en is de verhoging niet gekoppeld aan de inflatie over 2009 voor huurverhoging 2010 = Max 1,2 %  huur verhoging in Soc. Sectoc huurwoning.(ref .= VROM; huurverhoging 2010)).  Het zakenpand had vroereger een woning bestemmingsplan bij de gemeente en viel in de Soc Woning sector.huurprijsklasse. Afz. Drs. T.H.Tjee op thtjee@gamail.com"
439051,Fiscale zaken - (overig),Reactie via formulier op jurofoon.nl,Mijn vrouw woont op de Filipijnen en ik in NL.  De accountant stelt dat ik fiscaal gezien duurzaam gescheiden ben. Mijn bezoeken beperken zich tot ca 3x per jaar voor een paar weken per keer.  Ik stel dan dat de maandelijkse overmaking aan haar voor levensonderhoud dan ook fiscaal aftrekbaar dient te zijn.  Dat de IND een bezoekers-visum voor mijn vrouw blijft weigeren (tot drie maal toe ) doet hier dacht ik niets van af.
439060,Consumentenrecht - (overig),Reactie via formulier op jurofoon.nl,we hebben in september 2008 een jacuzzi gekocht met 3 jaar garantie op het electrisch besturingssysteem. Deze is afgelopen februarie kaopt gegaan en valt dus binnen de garantie volgens ons.  Volgens de dealer niet omdat de garanties zijn vervallen omdat deze begin 2009 failliet verklaard zou zijn. Wij willen weten of de garantie dus wel of niet is komen te vervallen door een failliessement.
439065,Verbintenissenrecht (algemeen) - Incasso,Reactie via formulier op jurofoon.nl,Sinds kort kan ik vanwege te weinig inkomen niet meer voldoen aan mijn betalingsverplictingen. Dit geld vooral voor mijn hypotheek. Gisteren kreeg ik via een brief te horen dat er loonbeslag wordt gelegd als ik binnen 3 dage niet voldaan heb aan het betalen van een betalingsachterstand. Financieel red ik dat niet. Daarom de vraag of er juridisch mogelijkheden zijn dit te voorkomen.  Ik ben zeer benieuwd naar uw antwoord.  Groeten  Hans van selm
439067,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Ik heb een zogenaamde vriend 2500 euro geleend, nu wilt hij niet terugbetalen.  Wat kan ik nu doen, om mijn geld terug te krijgen."
439073,Huurrecht - Huurzaken bedrijven,Reactie via formulier op jurofoon.nl,Hoe kan ik mijn bedrijf laten taxeren  hoeveel  huur ik in werkelijkheid per maand moet betalen?
439074,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"hallo ik wil gaan samenwonen met een gescheiden vrouw, nu heeft zij uit haar huwelijk grote schulden, komen die dan op mij af als we gaan samen wonen"
439078,Insolventierecht - Faillissementen,Reactie via formulier op jurofoon.nl,Ik zit nu in de wsnp ben 60 jaar kan geen werk vinden  krijg nu een aanbod om deel te nemen in nieuw op te zetten bedrijf kun je daar toestemming voor krijgen van de rechter-commissaris of is dit onmogelijk.
439092,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Ik werk als verpleegkundige bij een zorgcentrale. Ik heb 3 contracten gehad, ben er 8 maanden uitgeweest en krijg nu weer een tijdelijk contract. Kan ik hier wat tegen doen??   In dit laatste contract wilen ze een andere functienaam zetten nl zorgcentralist ipv verpleegkundigzorgcentralist. Ik moet wel de verpleegkundige taken doen die bij de andere functie horen. Mag dit? Kan ik hier iets tegen doen?"
439148,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"de biologische vader van mijn dochtertje (6,5 maand) wil haar zien maar geen contact met mij... wat zijn mijn rechten en verplichtingen hierin? kan ik eissen dat hij haar alleen mag zien als ik er bij ben?"
439150,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Hallo,  In augustus is mij vrouw uitgerkend. Nu wil ik naast de 2 bevallingsdagen verlof vragen voor de zorg van mijn vrouw, baby en oudste kind. Mijn werkgever/P&O zei dat je kraamzorg thuis krijgt dus ik krijg geen verlof. Nu zei ik op mijn beurt tegen ze dat ik de taken zelf kan doen en hoef hiervoor geen vreemde de hele dag over de vloer die ik ook nog eens moet betalen. Ik had verlof van vorig jaar meegenomen naar dit jaar en wilde dit dus opnemen in aug 11. Volgens P&O stond er bij de regel ADV x aantal uren. Wat eigenlijk er niet bij moest staan. Ik keek naar mijn restsaldo. Dat is dus mijn schuld volgens P&O. Maar ik zei als jullie weten dat ik vanf 1 jan 2010 geen adv uren neem maar wel uitbetaal waarom hebben jullie dit wel vermeld in de schema wat daar niet thuis hoorde? Wat moet ik nu?"
439187,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"Geachte heer/mevrouw,    Ik heb een vraag over in hoeverre er een officiële omgangsregeling opgesteld moet worden voor een niet erkend kind waarmee geen family life heeft bestaan met de niet-erkennende ouder omdat na 5 jaar kinderalimentatie wordt betaald door de ouder die het kind niet erkend heeft.    Ik ben nooit getrouwd geweest en heb nooit samen gewoond met de biologische vader van mijn inmiddels 6-jarige dochter. Mijn dochter heeft al die tijd bij mij gewoond en ik voed haar alleen op en zorg alleen voor haar.  Haar vader heeft haar niet erkend. Hij bezoekt haar gemiddeld 1x per 2 weken op zondag en zij maken dan vaak uitstapjes. Hoewel onze verstandhouding redelijk was (kopje koffie erbij, hij kon met ons mee eten en als hij niet kon of liever iets anders deed, kwam hij niet), kregen we altijd ruzie als ik begon over een bijdrage in de kosten van de opvoeding, waaraan hij al die jaren geen bijdrage heeft willen leveren (hoewel hij nu zegt dat hij altijd heeft gezegd een bijdrage te willen leveren....).     Toen onze dochter naar de basisschool ging heb ik hem gezegd dat hij een jaar de tijd had om met een plan te komen waarin zou staan hoe hij dacht over de omgang in de toekomst en over de financiële verplichtingen die daarbij horen en dat ik - als hij geen actie zou ondernemen - ik zelf actie zou ondernemen. Hoewel ik op dat moment nog niet wist hoe/wat/welke.    Omdat ik geen voorstel o.i.d. van hem heb gekregen, heb ik hem na dat jaar verteld dat ik de kinderalimentatie via de advocaat wilde regelen en dat wettelijk wilde vastleggen, zodat mijn dochter verzekerd is van een maandelijks bedrag van haar vader.  Dat heeft mij  erg veel geld gekost, omdat hij weigerde zijn financiële gegevens aan te leveren en hij onmiddelijk een andere omgangsregeling eiste/dreigde die er volgens hem minimaal uit bestaat dat zijn dochter tenminste 1x per 2 weken bij hem logeert en ook de helft van alle vakanties bij hem is.  Hoewel hij niet alle financiële gegevens naar behoren heeft aangeleverd, liepen de advocaatkosten zo hoog op dat ik uiteindelijk akkoord ben gegaan met een bepaald bedrag dat ik bij de rechtbank heb laten vastleggen. Al met al heeft dit een half jaar in beslag genomen en was ik bijna € 10.000,00 verder. Hij heeft zijn verzoek om te komen tot zijn voorgestelde minimale omgangsregeling bij de rechtbank neergelegd. Intussen ontving ik nog een brief van zijn advocaat dat hij nu toch echt eindelijk zijn dochter wilde erkennen, waarin hij liet voorkomen alsof hij dat al die jaren had gewild, maar dat ik dat al die tijd geweigerd zou hebben (net zoals ik in de brieven van zijn advocaat hem nu opeens de omgang met zijn dochter zou beletten). Volgens mijn advocaat kwam hij bij het aanleveren van de stukken aan de rechtbank waarschijnlijk tot het besef dat hij zijn dochter niet erkend heeft en dat het in dit geval wel handig was om dat te doen. Op advies van mijn advocaat heb ik niet op dat verzoek gereageerd. Hij heeft er intussen ook geen actie op ondernomen om zijn dochter te erkennen (ik weet dat ik dat niet zou kunnen tegen houden) en zij is dus nog steeds niet door hem erkend.    De rechtbank heeft n.a.v. zijn verzoek om een omgangsregeling vast te stellen (waarin hij stelt dat ik de omgang belet)  doorverwezen naar mediation en daar zijn we nu al een half jaar mee bezig. Het is verschrikkelijk, want ook daar meldt hij dat ik hem al die jaren de omgang met zijn dochter heb belet, terwijl hij al die tijd lekker heeft meegelift bij mij thuis.     Ik voel me verplicht mee te werken aan een andere omgangsregeling, want blijkbaar moet dat van de rechtbank ook. Ik vind het ook niet erg als mijn dochter zo af en toe eens een keer bij hem gaat logeren (b.v. 1x per maand en misschien na verloop van tijd wat vaker als zij dat wil). Dus   Intussen heeft mijn dochter 2x bij hem gelogeerd (in december en februari)  en komend weekend gaat ze ook weer. Hij kan intussen niet wachten tot ze 1x in de 2 weken bij hem komt logeren en dat ze met hem op vakantie gaat. Hoe wil hij dat doen? Ze staat in mijn paspoort.     Hoewel de logeerpartijen aardig zijn verlopen, is mijn dochter van slag en zelfs over haar toeren om naar hem toe te gaan en moet ik haar aansporen om te gaan logeren, waarschijnlijk ook omdat ze de vorige logeerpartij die 2 nachtjes zou duren bij hem heeft aangegeven na de 1e nacht al terug naar huis te willen en dat mocht van hem niet (hoewel we dat wel hadden afgesproken).  En zo gaat er vaker wat mis met afspraken met haar vader, omdat hij haar teveel phust. Zelfs de zondagmiddagen die tot nu toe meestal leuk waren, heeft ze niet veel zin meer. Maar omdat ze nog geen 12 is kan ze natuurlijk niet zelf beslissen of al naar een kinderrechter gaan. Bovendien vind ik het erg vervelend dat de omgang die toch redelijk goed was, nu verslechterd, want ik wil graag dat ze een leuk contact heeft met haar vader. Ik heb al spijt dat ik kinderalimentatie heb aangevraagd, anders was haar dit nooit overkomen. Het is net of ze nu ingezet wordt als handelwaar voor de betaalde alimenatie en ze ook niet meer op mij kan rekenen omdat ik haar nu zit te pushen om toch maar met haar vader mee te gaan. Met als gevolg dat ze mij ook niet meer echt in vertrouwen neemt, maar haar beklag doet bij anderen (buurvrouw, vriendinnetjes, moeders van vriendinnetjes).    Uit informatie die ik heb opgezocht  staat steeds dat een aantal personen wettelijk recht heeft op omgang, maar een vader die zijn kind niet erkend heeft en waarbij niet eens family life heeft bestaan, er andere/strengere  regels gelden. Maar wat precies is mij onduidelijk.    Het is niet mijn bedoeling om de omgang tussen hem en zijn dochter te verhinderen, maar zou het graag wat soepeler/rustiger willen laten verlopenen, waarbij we steeds een stapje naar voren of een stapje terugdoen afhankelijk van hoe onze dochter op de logeerpartijtjes reageert. Maar daar is haar vader niet van. Hij heeft maar 1 doel en dat is die 1x per 2 weken en de helft van de vakanties. Ik wil niet dat ze een hekel krijgt aan haar vader, hoewel dat misschien ook wel eventjes goed zou zijn. Dan kan hij ook merken dat het zo niet werkt. Hij woont trouwens ook niet in de buurt, maar zon 100 km bij ons vandaan. Nu is dat misschien nog niet zon probleem, maar als ik naar oudere kinderen kijk die in de weekenden hun eigen afspraken maken en hun activiteiten hebben, dan is het natuurlijk beter als de afstand minder groot is.     Mijn vraag is:   1. in hoeverre ben ik verplicht mee te werken aan een andere omgangsregeling, nu de vader dat eist sinds ik het verzoek heb gedaan tot kinderalimentatie en hij die alimenatie betaald. Er is tenslotte altijd omgang geweest (1x per 2 weken op zondag). In de brief van de rechtbank stond o.a. dat een scheidingszaak zich goed leent voor mediation, maar wij zijn helemaal niet gescheiden. Heeft de rechtbank misschien een vergissing gemaakt?    2. Omdat de mediation niet echt vordert, denk ik dat we toch weer uitkomen bij de rechtbank. Wat  zou een uitspraak van de rechter kunnen zijn?  Ik wil niet dat mijn dochter de dupe wordt van de eisen die haar vader nu ineens stelt.     3. Wie betaald de kosten van de rechtbank? Haar vader heeft het verzoek bij de rechtbank gedaan, maar wat moet ik betalen mocht het tot een rechtspraak komen? Omdat ik voor  mediation toch in aanmerking kwam voor toevoeging heb ik maar éénmalig een bedrag voor mediation moeten betalen, maar bij de rechtbank kan dat natuurlijk behoorlijk in de papieren gaan lopen want dan moet er ook weer een advocaat aan te pas komen. De advocaat die ik had heb ik inmiddels verlaten, omdat haar kantoor niet met een toevoeging werkte.    Eigenlijk weet ik het allemaal niet meer en staat het huilen me nader dan het lachen.    Ik hoop dat u mij antwoord op mijn vragen kunt geven.    Met vriendelijke groet,    Jenny"
439249,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,Ik heb een boete gekregen voor wildplassen. Ik heb mij geidentificeerd met een studentenpas (foto) + verzekeringspas (gegevens). Is de boete geldig met dit soort identificatie? Daarnaast heb geen kopie van de boete meegekregen.
439262,Sociaal Verzekeringsrecht - (overig),Reactie via formulier op jurofoon.nl,"Goedemiddag,    Mijn vraag betreft Zorgverzekeringen.  Mijn echtgenoot is Engelsman en bijgevolg   automatisch verzekerd van ziektekosten,  en ik, als zijn echtgenote ook.  Kun je dan toch verplicht worden  een Nederlandse zorgverzekering af te sluiten?  Dank voor uw aandacht.    Met vriendelijke groeten,  A. Wiliams"
439269,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,Ik ben ongeveer 53 jaar een oog kwijtgeraakt door vuurwerk van een ander. Juridisch zal ik waarschijnlijk niets meer kunnen halen. Mijn ouders hebben destijds de ander niet aansprakelijk gesteld.
439298,Arbeidsrecht - Ontslag,Reactie via formulier op jurofoon.nl,"Het bedrijf waar ik meer dan 11 jaar werkzaam ben gaat inkrimpen op grond van economische reden. Dit heeft consequentie voor 18 medewerkers. Met mij willen ze bespreken mogelijkheid om met vervroegd pensioen te gaan. Ik ben niet eens met deze beslissing. Mijn vraag is of mag ik het weigeren van juridisch standpunt.   Mijn gegevens:  Geb. datum 30-03-1950  Datum In diensttreden: 01-12-1999  CAO voor architectenbureaus  Salaris: € 3682,00  Mijn reden om te weigeren:  Ik woon in Nederland sinds 1982 en heb recht voor slechts 66% AOW  Ben werkzaam totaal 20 jaar dus heb weinig pensioen opgebouwd.   In de laatste nota van mijn pensioenfonds (mei 2011) staat vermeld dat als ik mijn dienstverband voortzet tot 65 jarige leeftijd ontvang ik € 17 413 per jaar, maar als ik mijn dienstverband zou beëindigen per 31 december 2009 ontvang ik € 13 880 per jaar. Op dit moment dit verschil is kleiner maar het betekend dat zolang ik leef krijg ik ca. € 3000 minder per jaar.  Ik denk dat een ontslag beter voor mij is.  In geval van ontslagen heb ik recht voor 38 maanden WW uitkering dus 70% van mijn salaris plus ontslagvergoeding van ca. € 45 000. Tussen die 38 maanden en mijn pensioen blijft nog gat van 6 maanden.  Ik zou ook graag willen dat werkgever blijft doorbetalen mijn pensioenpremie. Bestaat zo mogelijkheid?  In WW heb ik nog kans om een baan te zoeken of eigen bedrijf beginne, voor een gepensioneerde is die fiscaal niet verlaatvoorlijk.   Op maandag heb ik gesprek met de directie en voor die tijd wil ik alles weten over mijn rechten."
439300,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,"ik heb een overtreding begaan ivm verplaatsen van dieren bijlage A,de boete is 3000 euro.op het transactievoorstel van het CJIB staat pleegplaats:Noordwijkerhout,echter hier hebben wij nooit gewoond,kan dit geval dan geseponeerd worden??"
439315,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,"Geachte vrouw/heer,    In de beschikking van 2004 staat dat mijn ex-man een partner alimentatie moet betalen ter hoogte van 200 euro. Ik zelf heb werk sinds juni 2005. Mijn ex man zegt dat ik hem niet op de hoogte heb gesteld om te stoppen met betalen. Hij wist wel van de kinderen al 5 jaar dat ik werkzaam ben. Nu vraagt hij de rechtbank om te beslissen om vanaf 2005 de alimentatie op nul te zetten en alles met terugwerkende kracht aan hem te betalen. Ik heb gelezen dat als er in de echtscheidingsbeschikking niet specifiek staat dat partner alimentatie ophoudt wanneer de vrouw werk heeft gevonden dan is dit niet van toepassing.    Kunt u mij erover adviseren?    Met dank,    Lila Chatziangelaki"
439318,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,De 4 kinderen wonen bij hun moeder. Ik en mijn  ex hebben gezamenlijk gezag. Nu ga ik trouwen met mijn partner.Word mijn vrouw nu onderhoudsplichtig?
439325,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,Mijn huidige arbeidsovereenkomst is al een jaar geleden ge-eindigt. (Was deerde contract voor bepaalde duur) Ik krijg nu van mijn werkgever een neiuw contract waarin een aantal dingen zijn gewijzigd waar ik het niet mee eens ben.Wat gebeurt er als ik niet teken ?
439345,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Op 21 februari hebben we een 2e hands wasmachine gekocht. Deze werd afgeleverd, maar bleek, na vertrek van de koerier, niet te werken. Het bedrijf geeft geen thuis en wil ons geen geld teruggeven. Na elke dag meer malen bellen (er werd niet opgenomen) op 1 maart een aangetekende brief gestuurd. Uiteindelijk is er een koerier langsgekomen, en die gedroeg zich niet netjes. Mijn vriendin (ik was niet thuis) werd emotioneel, en heeft gezegd dat als ik er zou zijn, ik de koerier wel met woorden alle hoeken van de kamer zou laten zien. Achteraf geen handige uitlating. Nu wil het bedrijf helemaal niet meer meewerken, en dreigt met politie als we ons daar vertonen. Mijn pogingen om rustig uit te leggen wat er aan de hand is, werken niet. Telefonisch wil de baas niet aan de lijn komen, en per mail weigert hij te luisteren en verwijt hij me dat ik lieg.  Wat nu? Ik wil mijn geld terug, er is hier een ondeugdelijk product geleverd. Van bedreiging aan het adres van het bedrijf is geen enkele sprake."
439350,Verbintenissenrecht (algemeen) - Incasso,Reactie via formulier op jurofoon.nl,"ik heb een schuld lopen bij een gerechtsdeurwaarder. Nu probeer ik al enige tijd om inzicht/specificatie te krijgen in de opgebouwde rente en welk rentepercentage er wordt gehanteerd. Ik heb mailtjes getsuurd, faxen en brieven geschreven echter zonder succes. Mijn vraag is dan ook zijn zij verplicht mij inzicht/specificatie te geven? Mijn 2e vraag is. Als ik de maandelijkse opbouw zie dan kom ik uit op eengehanteerde rente van 18% mag dit?"
439372,Ambtenarenrecht - (overig),Reactie via formulier op jurofoon.nl,"Ben verwikkeld in een bestuursrechtelijke ontslagprocedure, ben semi ambtenaar, beroepszaak reeds gewonnen. De vakbondsondersteuning wordt  volgens hun nu te duur omdat werkgever in hoger beroep gaat bij Centrale raad van beroep. Gaarne jullie advies in deze.  Mvg,  APL Kluitenberg"
439398,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op JuroFoon,"Geachte heer/mevrouw,    Al een tijdje heb ik conflicten met mijn buren. Mijn buren hebben een paar fruitbomen in hun tuin staan waarvan er verschillende takken in mijn tuin doorgroeien. Deze overhangende takken nemen een heleboel zon weg uit mijn tuin. Hierdoor groeien mijn eigen bloemen en planten niet goed meer. Een tuinarchitect heeft mij geadviseerd om de takken te snoeien. Dit vond ik nogal rigoureus. Ook heb ik gehoord dat het fruit aan de overhangende takken mij toebehoren. Mijn buren zien dit echter anders. Zij zijn zo brutaal om tijdens het oogsten van de appels en peren mijn tuin in te komen en met een ijzeren trap ze te plukken. Met de trap beschadigen ze ook nog eens mijn eigen bloemen en planten.     Wat te doen??    Met vriendelijke groet,    M. Fortuin"
